,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
1359,2784854,77211481,AR,2018-04-20,2021-09-29 02:45:08,Wuxi Sunlit Science and Technology Company Limited,SUCCESS,0.15350440285363479,18.420528342436175,3172,1916,1256,265,36555
1360,2786125,77373899,AR,2018-04-22,2021-09-29 02:38:24,Shengli Oil & Gas Pipe Holdings Limited,SUCCESS,0.2731946023401966,24.041125005937303,3428,2144,1284,243,43030
1361,2786746,77389809,AR,2018-04-23,2021-10-01 09:49:21,Guangdong Adway Construction (Group) Holdings Company Limited,SUCCESS,0.5055170171219077,34.37515716428972,3131,2107,1024,174,38492
1362,2794866,77579232,AR,2018-04-26,2021-09-29 02:38:24,"Xiamen International Port Co., Ltd",WARNING,0.9327035367807909,73.68357940568248,4199,2955,1244,225,59042
1365,2795248,77591364,AR,2018-04-26,2021-09-29 02:44:58,SPT Energy Group Inc.,SUCCESS,0.435422949818013,31.78587533671495,3736,2373,1363,227,41833
1366,2795385,77581164,AR,2018-04-26,2021-09-29 02:44:51,Boer Power Holdings Limited,SUCCESS,0.3506916327445431,26.65256408858528,3204,2082,1122,199,39372
1367,2795436,77587112,AR,2018-04-26,2021-09-29 02:43:59,"Jujiang Construction Group Co., Ltd.",SUCCESS,0.36212976455577134,24.62482398979245,3109,1993,1116,172,39406
1368,2807909,36753995,AR,2017-04-21,2021-09-29 02:44:55,PetroChina Company Limited,SUCCESS,0.3000628820092945,38.408048897189694,6513,4018,2495,213,82986
1370,2843053,77211149,AR,2017-12-31,2021-09-29 02:34:40,CITIC Securities Company Limited,WARNING,1.0198092694927103,76.48569521195327,8896,6014,2882,162,110684
1372,2845800,73728652,AR,2017-12-31,2021-09-29 02:44:10,"Zhejiang Chang'an Renheng Technology Co., Ltd.",SUCCESS,0.15274908546792135,14.205664948516684,2316,1414,902,161,32644
1373,2852143,75449538,AR,2017-12-31,2021-09-29 09:20:36,"Huawei Investment & Holding Co., Ltd.",SUCCESS,2.69842107224991,113.33368503449621,6208,4980,1228,199,55240
1374,2870459,77331401,AR,2018-03-21,2021-09-29 02:44:51,PetroChina Company Limited,SUCCESS,0.26958358902223173,41.785456298445915,6462,4054,2408,222,83717
1376,2881578,77324885,AR,2018-03-22,2021-09-29 02:33:52,China Petroleum & Chemical Corporation,WARNING,0.3112858922468704,46.07031205253682,6921,4297,2624,468,93305
1378,2892144,77589472,AR,2018-04-26,2021-09-30 05:13:17,Zhong An Group Limited,SUCCESS,0.6685326453787629,36.100762850453194,3982,2591,1391,183,54205
1380,2894458,77816153,AR,2018-04-27,2021-09-29 02:44:58,United Strength Power Holdings Limited,SUCCESS,0.3561829252837594,23.15189014344436,3133,1995,1138,180,36561
1381,2895659,77799877,AR,2018-04-27,2021-09-29 09:20:35,LongiTech Smart Energy Holding Limited,WARNING,0.2633999172961638,35.82238875227828,3653,2405,1248,344,46391
1383,2897018,77793565,AR,2018-04-27,2021-09-29 02:35:45,"Dynagreen Environmental Protection Group Co., Ltd.",WARNING,0.740420658841185,50.34860480120058,3727,2348,1379,231,49135
