,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent_x,sum_sent_x,hit_count_x,positive_hits_x,negative_hits_x,section_count_x,word_count_x,avg_sent_y,sum_sent_y,hit_count_y,positive_hits_y,negative_hits_y,section_count_y,word_count_y
813,2431211,107410056,AR,2019-04-23,2021-07-26 06:49:01,China Merchants Securities Co. Ltd.,SUCCESS,0.6618217732781121,85.37500875287645,7813,5073,2740,474,104902,,,,,,,
814,2433221,107723067,AR,2019-04-26,2021-07-26 06:40:18,Shandong Xinhua Pharmaceutical Company Limited,SUCCESS,0.9319441077814888,36.34582020347806,5562,3598,1964,155,75634,,,,,,,
816,2433866,107589448,AR,2019-04-25,2021-07-26 06:47:16,Jiangsu Innovative Ecological New Materials Limited,WARNING,0.2088078091232876,15.451777875123284,2827,1725,1102,229,35553,,,,,,,
818,2434321,107399098,AR,2019-04-23,2021-07-26 06:48:51,Hebei Construction Group Corporation Limited,SUCCESS,0.4382933285478359,51.71861276864464,6074,4136,1938,332,75745,,,,,,,
819,2435082,107594371,AR,2019-04-25,2021-07-26 06:31:56,"China Greenfresh Group Co., Ltd.",SUCCESS,0.18285020488395337,19.382121717699057,3962,2415,1547,273,49358,,,,,,,
821,2435408,107596629,AR,2019-04-25,2021-07-26 06:48:50,"Xinhua Winshare Publishing and Media Co., Ltd.",WARNING,0.604869842896257,53.83341601776687,5349,3771,1578,345,73984,,,,,,,
823,2435775,107722805,AR,2019-04-26,2021-07-26 06:29:17,"COSCO SHIPPING Development Co., Ltd.",SUCCESS,0.2935442282989184,32.289865112881024,3980,2570,1410,266,53506,,,,,,,
825,2435924,107732104,AR,2019-04-26,2021-07-26 06:47:49,Mobile Internet (China) Holdings Limited,SUCCESS,0.31272695943798023,42.84359344300329,4566,2857,1709,282,58438,,,,,,,
829,2437512,106054586,AR,2019-03-29,2021-07-26 06:37:16,Times China Holdings Limited,WARNING,0.17696858061225204,43.003365088777244,6142,4048,2094,673,83120,,,,,,,
831,2438625,107728469,AR,2019-04-25,2021-07-26 06:29:16,Sinotruk (Hong Kong) Limited,SUCCESS,0.3347853347619375,35.152460150003435,4529,2876,1653,231,57091,,,,,,,
832,2438682,107906188,AR,2019-04-29,2021-07-26 06:41:19,Ourgame International Holdings Limited,WARNING,0.3741018774136062,40.777104638083074,5694,3599,2095,360,72961,,,,,,,
834,2439436,107719831,AR,2019-04-26,2021-07-26 06:32:32,Evergreen International Holdings Limited,SUCCESS,0.18713241491057836,23.01728703400114,3891,2374,1517,269,48716,,,,,,,
842,2440978,108012126,AR,2019-04-30,2021-07-26 06:44:09,Yuanda China Holdings Limited,SUCCESS,0.1675077714542097,19.263393717234116,4276,2546,1730,274,52695,,,,,,,
850,2443702,107910402,AR,2019-04-29,2021-07-26 06:39:19,Orient Securities Company Ltd.,SUCCESS,0.6482146572478786,86.86076407121574,10065,6481,3584,315,129687,,,,,,,
851,2443828,106832350,AR,2019-04-12,2021-07-26 06:38:50,"Hanhua Financial Holding Co., Ltd.",SUCCESS,0.6461240902974809,58.797292217070755,7607,4742,2865,277,87115,,,,,,,
852,2444962,106834768,AR,2019-04-11,2021-07-26 06:36:49,Central China Real Estate Limited,SUCCESS,0.6091846092453592,74.32052232793383,6747,4714,2033,287,86175,,,,,,,
853,2445868,107723497,AR,2019-04-26,2021-07-26 06:36:49,Mobvista Inc.,WARNING,0.3678132822316432,36.41351494093268,3270,2030,1240,246,42497,,,,,,,
854,2445927,107480424,AR,2019-04-24,2021-07-26 06:43:25,Ascletis Pharma Inc.,SUCCESS,0.28865534425575595,22.803772196204722,3145,2097,1048,204,40755,,,,,,,
